                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.98943,                0.61348,                 1.1202,                0.61346,                0.64852,                0.66118,                 0.4617,                 1.1877,                0.75895,                 1.3316,             0.00056128,             0.00056128,             0.00056128
                     69,                0.98645,                0.60875,                 1.1179,                0.55163,                0.70258,                0.66203,                0.46319,                 1.1859,                0.80204,                 1.3294,             0.00054478,             0.00054478,             0.00054478
                     70,                0.98793,                0.60979,                 1.1167,                0.64427,                0.64488,                0.67069,                 0.4688,                 1.1763,                0.77155,                 1.3173,             0.00052827,             0.00052827,             0.00052827
                     71,                0.98229,                0.61995,                 1.1208,                0.64824,                0.66183,                0.68578,                0.47795,                 1.1772,                0.76147,                 1.3253,             0.00051177,             0.00051177,             0.00051177
                     72,                0.98296,                0.60416,                 1.1192,                0.69415,                0.60762,                0.67131,                0.46981,                 1.1865,                0.77149,                 1.3209,             0.00049527,             0.00049527,             0.00049527
                     73,                0.97522,                0.59169,                 1.1186,                0.66243,                0.66559,                0.69004,                0.47846,                 1.1897,                 0.7956,                 1.3351,             0.00047876,             0.00047876,             0.00047876
                     74,                0.97898,                0.59766,                 1.1166,                0.63807,                0.68671,                0.67785,                  0.472,                 1.1876,                0.77672,                 1.3277,             0.00046226,             0.00046226,             0.00046226
                     75,                0.96494,                0.59335,                 1.1073,                0.61297,                0.64518,                0.65734,                0.46162,                 1.1847,                0.78546,                 1.3292,             0.00044576,             0.00044576,             0.00044576
                     76,                0.96319,                0.58555,                 1.1035,                0.63347,                0.64688,                0.66907,                 0.4672,                 1.1872,                0.78265,                 1.3203,             0.00042925,             0.00042925,             0.00042925
                     77,                0.96211,                0.58587,                 1.1153,                0.65369,                0.65377,                0.66154,                0.45854,                 1.1902,                0.78249,                 1.3318,             0.00041275,             0.00041275,             0.00041275
                     78,                0.95358,                 0.5809,                 1.0982,                0.62475,                0.70291,                0.68274,                0.47539,                 1.1966,                0.78244,                 1.3271,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.9574,                0.58188,                 1.1029,                0.64786,                0.64821,                0.68685,                0.47626,                 1.1866,                0.80976,                 1.3322,             0.00037974,             0.00037974,             0.00037974
                     80,                0.94908,                0.57549,                 1.1029,                0.66638,                0.62905,                0.67465,                0.46524,                  1.196,                0.80991,                 1.3451,             0.00036324,             0.00036324,             0.00036324
                     81,                0.95175,                0.57278,                 1.1021,                0.65565,                0.66276,                0.68401,                 0.4786,                 1.1876,                0.77679,                 1.3336,             0.00034674,             0.00034674,             0.00034674
                     82,                0.94474,                0.56117,                 1.0917,                0.59772,                0.68699,                0.66807,                0.46691,                 1.1958,                0.79767,                 1.3389,             0.00033023,             0.00033023,             0.00033023
                     83,                0.94434,                 0.5747,                 1.1004,                0.67475,                0.65911,                0.67355,                0.46934,                 1.1964,                0.77702,                  1.335,             0.00031373,             0.00031373,             0.00031373
                     84,                0.94213,                0.56171,                 1.0909,                0.64389,                0.66513,                0.66549,                0.45617,                 1.1999,                0.78666,                 1.3416,             0.00029723,             0.00029723,             0.00029723
                     85,                0.94047,                0.55978,                 1.0908,                0.67363,                0.64866,                0.67621,                  0.467,                 1.2005,                0.79153,                 1.3419,             0.00028072,             0.00028072,             0.00028072
                     86,                0.93073,                 0.5502,                 1.0856,                0.71375,                0.63197,                0.67193,                 0.4692,                 1.1989,                0.80157,                 1.3382,             0.00026422,             0.00026422,             0.00026422
                     87,                0.93152,                0.55173,                 1.0869,                0.62742,                0.65808,                0.66341,                 0.4557,                 1.2021,                0.80053,                 1.3421,             0.00024772,             0.00024772,             0.00024772
                     88,                0.92796,                0.54541,                 1.0895,                0.63598,                0.67364,                0.67016,                0.46242,                 1.2022,                0.81595,                 1.3456,             0.00023121,             0.00023121,             0.00023121
                     89,                0.91943,                0.53649,                 1.0854,                0.71616,                0.61289,                0.66561,                0.46148,                 1.2007,                0.81538,                 1.3486,             0.00021471,             0.00021471,             0.00021471
